word,positive,negative
best,1,0
superior,1,0
supreme,1,0
ultra,1,0
ultimate,1,0
fine,1,0
nice,1,0
pleasant,1,0
agreeable,1,0
lovable,1,0
charming,1,0
captivating,1,0
engaging,1,0
entertain,1,0
entertaining,1,0
enjoy,1,0
enjoyable,1,0
fun,1,0
exciting,1,0
interesting,1,0
fascinating,1,0
intriguing,1,0
absorbing,1,0
thrilling,1,0
electrifying,1,0
exhilarating,1,0
uplifting,1,0
heartwarming,1,0
touching,1,0
moving,1,0
stirring,1,0
rousing,1,0
hate,0,1
anger,0,1
angry,0,1
fear,0,1
afraid,0,1
scared,0,1
terror,0,1
horror,0,1
terrible,0,1
awful,0,1
sad,0,1
sadness,0,1
cry,0,1
tears,0,1
pain,0,1
hurt,0,1
suffer,0,1
suffering,0,1
death,0,1
die,0,1
dead,0,1
kill,0,1
murder,0,1
violence,0,1
blood,0,1
war,0,1
enemy,0,1
destroy,0,1
destruction,0,1
dark,0,1
darkness,0,1
evil,0,1
wicked,0,1
cruel,0,1
brutal,0,1
savage,0,1
danger,0,1
dangerous,0,1
threat,0,1
threaten,0,1
trapped,0,1
prison,0,1
captive,0,1
slave,0,1
lonely,0,1
alone,0,1
despair,0,1
desperate,0,1
hopeless,0,1
misery,0,1
miserable,0,1
grief,0,1
grieve,0,1
mourning,0,1
loss,0,1
lose,0,1
betray,0,1
betrayal,0,1
lie,0,1
deceive,0,1
cheat,0,1
trap,0,1
curse,0,1
damn,0,1
hell,0,1
devil,0,1
demon,0,1
monster,0,1
ugly,0,1
disgust,0,1
revolting,0,1
pathetic,0,1
pity,0,1
shame,0,1
shameful,0,1
guilt,0,1
guilty,0,1
regret,0,1
stupid,0,1
fool,0,1
foolish,0,1
crazy,0,1
insane,0,1
madness,0,1
horrible,0,1
hideous,0,1
dreadful,0,1
frightful,0,1
shocking,0,1
alarming,0,1
depress,0,1
depression,0,1
anxiety,0,1
anxious,0,1
worry,0,1
worrying,0,1
panic,0,1
chaos,0,1
disaster,0,1
catastrophe,0,1
tragedy,0,1
tragic,0,1
doom,0,1
doomed,0,1
cursed,0,1
haunt,0,1
haunted,0,1
ghost,0,1
poison,0,1
wound,0,1
bleed,0,1
bleeding,0,1
disease,0,1
sick,0,1
illness,0,1
broken,0,1
break,0,1
collapse,0,1
fall,0,1
fallen,0,1
ruin,0,1
rotten,0,1
corrupt,0,1
corruption,0,1
greed,0,1
greedy,0,1
selfish,0,1
jealous,0,1
envy,0,1
bitter,0,1
hatred,0,1
vengeance,0,1
revenge,0,1
agony,0,1
anguish,0,1
torment,0,1
torture,0,1
scream,0,1
shout,0,1
yell,0,1
crash,0,1
explode,0,1
explosion,0,1
fire,0,1
burn,0,1
attack,0,1
assault,0,1
fight,0,1
battle,0,1
conflict,0,1
argue,0,1
argument,0,1
rage,0,1
fury,0,1
furious,0,1
spite,0,1
malice,0,1
contempt,0,1
scorn,0,1
mock,0,1
insult,0,1
offend,0,1
offense,0,1
resent,0,1
resentment,0,1
abuse,0,1
neglect,0,1
abandon,0,1
desert,0,1
isolate,0,1
harsh,0,1
violent,0,1
vicious,0,1
ferocious,0,1
fierce,0,1
ruthless,0,1
merciless,0,1
pitiless,0,1
cold,0,1
frozen,0,1
empty,0,1
hollow,0,1
numb,0,1
numbness,0,1
faint,0,1
weak,0,1
weakness,0,1
fragile,0,1
delicate,0,1
vulnerable,0,1
helpless,0,1
powerless,0,1
useless,0,1
worthless,0,1
waste,0,1
failure,0,1
fail,0,1
defeat,0,1
surrender,0,1
yield,0,1
submit,0,1
obey,0,1
confine,0,1
confined,0,1
restrict,0,1
restricted,0,1
limit,0,1
limited,0,1
oppress,0,1
oppression,0,1
persecute,0,1
discriminate,0,1
prejudice,0,1
racism,0,1
sexism,0,1
injustice,0,1
unfair,0,1
wrong,0,1
sin,0,1
crime,0,1
criminal,0,1
thief,0,1
rob,0,1
steal,0,1
burglary,0,1
fraud,0,1
deceit,0,1
dishonest,0,1
liar,0,1
hypocrite,0,1
hypocrisy,0,1
ignorant,0,1
ignorance,0,1
idiot,0,1
moron,0,1
dull,0,1
dumb,0,1
nasty,0,1
mean,0,1
rude,0,1
offensive,0,1
repulsive,0,1
repugnant,0,1
loathsome,0,1
detestable,0,1
abhorrent,0,1
despicable,0,1
contemptible,0,1
contaminate,0,1
pollute,0,1
stain,0,1
taint,0,1
blight,0,1
blame,0,1
accuse,0,1
condemn,0,1
arrest,0,1
capture,0,1
hunt,0,1
chase,0,1
pursue,0,1
stalk,0,1
ambush,0,1
raid,0,1
invade,0,1
invasion,0,1
conquer,0,1
siege,0,1
massacre,0,1
slaughter,0,1
execute,0,1
execution,0,1
assassinate,0,1
assassination,0,1
strangle,0,1
drown,0,1
suffocate,0,1
smother,0,1
